comparison,method,method_display,budget_steps,metric,metric_display,kind,direction,proposed_mean,baseline_mean,delta,ci_low,ci_high,raw_p,holm_p,favorable_cross_seed_pairs,total_cross_seed_pairs,favorable_ci,confirmatory,strict_superiority
proposed_minus_mat,mat,MAT,3000000,collision,Collision,rate,lower,0.07421875,0.60546875,-0.53125,-0.5833333333333334,-0.4817708333333333,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mat,mat,MAT,3000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.390625,-0.3776041666666667,-0.42578125,-0.3268229166666667,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mat,mat,MAT,3000000,progress,Goal progress,value,higher,2.3595063316774905,-1.9047220702050254,4.264228401882516,4.081227405315734,4.455834521092246,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mat,mat,MAT,3000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-4.515071155814261,3.95129632053608,3.8062013744806493,4.092173902401116,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_mat,mat,MAT,3000000,risk_065,Risk <0.65 m,rate,lower,0.21787327627199238,0.08585948644793151,0.13201378982406087,0.09930716535901095,0.16562648597242036,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_mat,mat,MAT,3000000,risk_100,Risk <1.0 m,rate,lower,0.4904451973371374,0.243268544935806,0.24717665240133138,0.18143723252496435,0.31321326676176875,4.9999750001249995e-06,nan,0,9,False,False,
proposed_minus_hatrpo,hatrpo,HATRPO,3000000,success,Success,rate,higher,0.9127604166666666,0.0,0.9127604166666666,0.8828125,0.94140625,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_hatrpo,hatrpo,HATRPO,3000000,collision,Collision,rate,lower,0.07421875,0.8854166666666666,-0.8111979166666666,-0.8580729166666667,-0.7604166666666666,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_hatrpo,hatrpo,HATRPO,3000000,deadlock,Deadlock,rate,lower,0.013020833333333334,0.11458333333333333,-0.1015625,-0.14583333333333331,-0.0625,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_hatrpo,hatrpo,HATRPO,3000000,progress,Goal progress,value,higher,2.3595063316774905,-1.5114389763912186,3.870945308068709,3.6649833850622113,4.083792905009316,4.9999750001249995e-06,nan,9,9,True,False,
proposed_minus_hatrpo,hatrpo,HATRPO,3000000,objective_s,Objective/s,value,higher,-0.5637748352781808,-5.089893094106011,4.526118258827831,4.268760238485073,4.799722192189122,4.9999750001249995e-06,nan,9,9,True,False,
